fill	x	y	tooltip	key	showSelectedlegendfill	clickSelects	showSelected1
#000000	0.0833333333333333	0.5	-2.6<thresh<-2.5 FP=1 FN=2	4.8 -2.524465240576	Min	-2.524465240576	4.8
#FFFFFF	0.0833333333333333	0.25	-2.5<thresh<-1.0 FP=1 FN=3	4.8 -1.7250450381836	More	-1.7250450381836	4.8
#000000	0	0.25	-1.0<thresh<1.6 FP=0 FN=3	4.8 0.293237447653286	Min	0.293237447653286	4.8
#FFFFFF	0	0	1.6<thresh<Inf FP=0 FN=4	4.8 Inf	More	Inf	4.8
#FFFFFF	1	1	-Inf<thresh<-9.0 FP=12 FN=0	5 -Inf	More	-Inf	5
#FFFFFF	0.916666666666667	1	-9.0<thresh<-8.1 FP=11 FN=0	5 -8.58704105367987	More	-8.58704105367987	5
#FFFFFF	0.666666666666667	1	-8.1<thresh<-7.4 FP=8 FN=0	5 -7.79169083010477	More	-7.79169083010477	5
#FFFFFF	0.583333333333333	1	-7.4<thresh<-6.7 FP=7 FN=0	5 -7.07437721907083	More	-7.07437721907083	5
#FFFFFF	0.583333333333333	0.75	-6.7<thresh<-5.4 FP=7 FN=1	5 -6.04716488283047	More	-6.04716488283047	5
#FFFFFF	0.5	0.75	-5.4<thresh<-4.0 FP=6 FN=1	5 -4.71716945505453	More	-4.71716945505453	5
#FFFFFF	0.25	0.75	-4.0<thresh<-3.7 FP=3 FN=1	5 -3.87426097511929	More	-3.87426097511929	5
#FFFFFF	0.25	0.5	-3.7<thresh<-3.2 FP=3 FN=2	5 -3.42956141970862	More	-3.42956141970862	5
#FFFFFF	0.166666666666667	0.5	-3.2<thresh<-2.6 FP=2 FN=2	5 -2.87110214393305	More	-2.87110214393305	5
#000000	0.0833333333333333	0.5	-2.6<thresh<-2.5 FP=1 FN=2	5 -2.524465240576	Min	-2.524465240576	5
#FFFFFF	0.0833333333333333	0.25	-2.5<thresh<-1.0 FP=1 FN=3	5 -1.7250450381836	More	-1.7250450381836	5
#000000	0	0.25	-1.0<thresh<1.6 FP=0 FN=3	5 0.293237447653286	Min	0.293237447653286	5
#FFFFFF	0	0	1.6<thresh<Inf FP=0 FN=4	5 Inf	More	Inf	5
